CIVIC_NUMBER;Geo Local Area;Geom;P_PARCEL_ID;PCOORD;SITE_ID;STD_STREET;geo_point_2d
525;Downtown;"{""coordinates"": [-123.10478151629262, 49.280216832770044], ""type"": ""Point""}";__FJ18HK;17859231;015092542;CARRALL ST;49.280216832770044, -123.10478151629262
917;Downtown;"{""coordinates"": [-123.10048478664234, 49.27643535933097], ""type"": ""Point""}";__FJ18HW;19060127;015642640;MAIN ST;49.27643535933097, -123.10048478664234
417;Downtown;"{""coordinates"": [-123.11113772050425, 49.28390649979066], ""type"": ""Point""}";__FJ18IC;59013847;006265642;W HASTINGS ST;49.28390649979066, -123.11113772050425
555;Downtown;"{""coordinates"": [-123.11188875665776, 49.284682949039585], ""type"": ""Point""}";__FJ18IM;59013407;007630727;W HASTINGS ST;49.284682949039585, -123.11188875665776
560;Downtown;"{""coordinates"": [-123.12514684484478, 49.27617898884129], ""type"": ""Point""}";__FJ010E;13461208;015473929;DAVIE ST;49.27617898884129, -123.12514684484478
1401;Downtown;"{""coordinates"": [-123.13199934770924, 49.2762465996704], ""type"": ""Point""}";__FJ011E;12461625;002559552;HORNBY ST;49.2762465996704, -123.13199934770924
1118;Downtown;"{""coordinates"": [-123.12163504721772, 49.27595835404665], ""type"": ""Point""}";__FJ012C;14860802;LMS3038;HOMER ST;49.27595835404665, -123.12163504721772
200;Downtown;"{""coordinates"": [-123.11892167656765, 49.275878449753], ""type"": ""Point""}";__FJ012K;15760607;002624923;NELSON ST;49.275878449753, -123.11892167656765
;Downtown;"{""coordinates"": [-123.13308588843792, 49.27442164173815], ""type"": ""Point""}";__FJ012U;12461726;004598164;;49.27442164173815, -123.13308588843792
888;Downtown;"{""coordinates"": [-123.1327940435835, 49.2747251154192], ""type"": ""Point""}";__FJ012W;61712408;LMS712;BEACH AV;49.2747251154192, -123.1327940435835
1451;Downtown;"{""coordinates"": [-123.13259572469961, 49.27585555268264], ""type"": ""Point""}";__FJ012Y;12461673;002559463;HORNBY ST;49.27585555268264, -123.13259572469961
1285;Downtown;"{""coordinates"": [-123.12481561599455, 49.27460070953367], ""type"": ""Point""}";__FJ00SY;14861277;015473309;HOMER ST;49.27460070953367, -123.12481561599455
1226;Downtown;"{""coordinates"": [-123.1229748022784, 49.274379620622156], ""type"": ""Point""}";__FJ00V8;15261226;LMS3198;HAMILTON ST;49.274379620622156, -123.1229748022784
801;Downtown;"{""coordinates"": [-123.13223198410024, 49.275301874898815], ""type"": ""Point""}";__FJ00VM;61712407;007980442;BEACH AV;49.275301874898815, -123.13223198410024
801;Downtown;"{""coordinates"": [-123.13211286236125, 49.27522600181233], ""type"": ""Point""}";__FJ00VO;61712465;007980451;BEACH AV;49.27522600181233, -123.13211286236125
801;Downtown;"{""coordinates"": [-123.13196328278525, 49.27512182854511], ""type"": ""Point""}";__FJ00VS;61712495;015505391;BEACH AV;49.27512182854511, -123.13196328278525
801;Downtown;"{""coordinates"": [-123.13173825411502, 49.27497050738868], ""type"": ""Point""}";__FJ00VY;61712495;015505464;BEACH AV;49.27497050738868, -123.13173825411502
711;Downtown;"{""coordinates"": [-123.13140604468302, 49.274636255618816], ""type"": ""Point""}";__FJ00WI;12661694;010068201;BEACH AV;49.274636255618816, -123.13140604468302
711;Downtown;"{""coordinates"": [-123.13130587849223, 49.27470338365371], ""type"": ""Point""}";__FJ00WK;12661694;010068198;BEACH AV;49.27470338365371, -123.13130587849223
1423;Downtown;"{""coordinates"": [-123.13083586803448, 49.27501379209321], ""type"": ""Point""}";__FJ00WU;12661602;029349362;CONTINENTAL ST;49.27501379209321, -123.13083586803448
1500;Downtown;"{""coordinates"": [-123.13200308757439, 49.274170541741256], ""type"": ""Point""}";__FJ00XK;12661706;VAS2383;HOWE ST;49.274170541741256, -123.13200308757439
